DATE,YEAR_MONTH,BOK_BASE_RATE,MORTGAGE_LOAN_RATE,COFIX_RATE,REAL_INTEREST_RATE
2018-01-01,201801,1.5,2.85,2.51,0.35
2018-02-01,201802,1.5,2.85,2.51,0.35
2018-03-01,201803,1.5,2.85,2.51,0.35
2018-04-01,201804,1.5,2.85,2.51,0.35
2018-05-01,201805,1.5,2.85,2.51,0.35
2018-06-01,201806,1.5,2.85,2.51,0.35
2018-07-01,201807,1.5,2.85,2.51,0.35
2018-08-01,201808,1.5,2.85,2.51,0.35
2018-09-01,201809,1.5,2.85,2.51,0.35
2018-10-01,201810,1.5,2.85,2.51,0.35
2018-11-01,201811,1.5,2.85,2.51,0.35
2018-12-01,201812,1.75,3.1,2.76,0.6
2019-01-01,201901,1.75,3.1,2.76,0.6
2019-02-01,201902,1.75,3.1,2.76,0.6
2019-03-01,201903,1.75,3.1,2.76,0.6
2019-04-01,201904,1.75,3.1,2.76,0.6
2019-05-01,201905,1.75,3.1,2.76,0.6
2019-06-01,201906,1.75,3.1,2.76,0.6
2019-07-01,201907,1.75,3.1,2.76,0.6
2019-08-01,201908,1.5,2.85,2.51,0.35
2019-09-01,201909,1.5,2.85,2.51,0.35
2019-10-01,201910,1.5,2.85,2.51,0.35
2019-11-01,201911,1.25,2.6,2.26,0.1
2019-12-01,201912,1.25,2.6,2.26,0.1
2020-01-01,202001,1.25,2.45,2.15,-0.05
2020-02-01,202002,1.25,2.45,2.15,-0.05
2020-03-01,202003,1.25,2.45,2.15,-0.05
2020-04-01,202004,0.75,1.95,1.65,-0.55
2020-05-01,202005,0.75,1.95,1.65,-0.55
2020-06-01,202006,0.5,1.7,1.4,-0.8
2020-07-01,202007,0.5,1.7,1.4,-0.8
2020-08-01,202008,0.5,1.7,1.4,-0.8
2020-09-01,202009,0.5,1.7,1.4,-0.8
2020-10-01,202010,0.5,1.7,1.4,-0.8
2020-11-01,202011,0.5,1.7,1.4,-0.8
2020-12-01,202012,0.5,1.7,1.4,-0.8
2021-01-01,202101,0.5,1.7,1.4,-0.8
2021-02-01,202102,0.5,1.7,1.4,-0.8
2021-03-01,202103,0.5,1.7,1.4,-0.8
2021-04-01,202104,0.5,1.7,1.4,-0.8
2021-05-01,202105,0.5,1.7,1.4,-0.8
2021-06-01,202106,0.5,1.7,1.4,-0.8
2021-07-01,202107,0.5,1.7,1.4,-0.8
2021-08-01,202108,0.5,1.7,1.4,-0.8
2021-09-01,202109,0.75,1.95,1.65,-0.55
2021-10-01,202110,0.75,1.95,1.65,-0.55
2021-11-01,202111,0.75,1.95,1.65,-0.55
2021-12-01,202112,1.0,2.2,1.9,-0.3
2022-01-01,202201,1.0,2.65,2.24,0.15
2022-02-01,202202,1.25,2.9,2.49,0.4
2022-03-01,202203,1.25,2.9,2.49,0.4
2022-04-01,202204,1.25,2.9,2.49,0.4
2022-05-01,202205,1.5,3.15,2.74,0.65
2022-06-01,202206,1.75,3.4,2.99,0.9
2022-07-01,202207,1.75,3.4,2.99,0.9
2022-08-01,202208,2.25,3.9,3.49,1.4
2022-09-01,202209,2.5,4.15,3.74,1.65
2022-10-01,202210,2.5,4.15,3.74,1.65
2022-11-01,202211,3.0,4.65,4.24,2.15
2022-12-01,202212,3.25,4.9,4.49,2.4
2023-01-01,202301,3.25,4.9,4.49,2.4
2023-02-01,202302,3.5,5.15,4.74,2.65
2023-03-01,202303,3.5,5.15,4.74,2.65
2023-04-01,202304,3.5,5.15,4.74,2.65
2023-05-01,202305,3.5,5.15,4.74,2.65
2023-06-01,202306,3.5,5.15,4.74,2.65
2023-07-01,202307,3.5,5.15,4.74,2.65
2023-08-01,202308,3.5,5.15,4.74,2.65
2023-09-01,202309,3.5,5.15,4.74,2.65
2023-10-01,202310,3.5,5.15,4.74,2.65
2023-11-01,202311,3.5,5.15,4.74,2.65
2023-12-01,202312,3.5,5.15,4.74,2.65
2024-01-01,202401,3.5,4.95,4.59,2.45
2024-02-01,202402,3.5,4.95,4.59,2.45
2024-03-01,202403,3.5,4.95,4.59,2.45
2024-04-01,202404,3.5,4.95,4.59,2.45
2024-05-01,202405,3.5,4.95,4.59,2.45
2024-06-01,202406,3.5,4.95,4.59,2.45
2024-07-01,202407,3.5,4.95,4.59,2.45
2024-08-01,202408,3.5,4.95,4.59,2.45
2024-09-01,202409,3.5,4.95,4.59,2.45
2024-10-01,202410,3.5,4.95,4.59,2.45
2024-11-01,202411,3.25,4.7,4.34,2.2
2024-12-01,202412,3.0,4.45,4.09,1.95
2025-01-01,202501,3.0,4.45,4.09,1.95
2025-02-01,202502,3.0,4.45,4.09,1.95
2025-03-01,202503,3.0,4.45,4.09,1.95
2025-04-01,202504,3.0,4.45,4.09,1.95
2025-05-01,202505,3.0,4.45,4.09,1.95
2025-06-01,202506,2.75,4.2,3.84,1.7
2025-07-01,202507,2.75,4.2,3.84,1.7
2025-08-01,202508,2.75,4.2,3.84,1.7
2025-09-01,202509,2.75,4.2,3.84,1.7
2025-10-01,202510,2.75,4.2,3.84,1.7
2025-11-01,202511,2.75,4.2,3.84,1.7
2025-12-01,202512,2.75,4.2,3.84,1.7
2026-01-01,202601,2.75,4.2,3.84,1.7
2026-02-01,202602,2.75,4.2,3.84,1.7
2026-03-01,202603,2.5,3.95,3.59,1.45
2026-04-01,202604,2.5,3.95,3.59,1.45
2026-05-01,202605,2.5,3.95,3.59,1.45
2026-06-01,202606,2.5,3.95,3.59,1.45
2026-07-01,202607,2.5,3.95,3.59,1.45
2026-08-01,202608,2.5,3.95,3.59,1.45
