YEAR_MONTH,DATE,KB_BUYER_SUPERIORITY_INDEX,KB_LEADING_50_INDEX,KB_PRICE_OUTLOOK_INDEX,KB_SEOUL_PIR,KB_JEONSE_SUPPLY_INDEX
201801,2018-01-01,95.0,72.0,101.0,12.1,114.6
201802,2018-02-01,96.5,72.74,104.1,12.26,110.1
201803,2018-03-01,98.0,73.48,106.8,12.41,113.6
201804,2018-04-01,99.5,74.22,108.6,12.57,111.1
201805,2018-05-01,101.0,74.95,109.4,12.73,111.3
201806,2018-06-01,102.5,75.69,109.4,12.88,115.8
201807,2018-07-01,104.0,76.43,108.8,13.04,113.9
201808,2018-08-01,105.5,77.17,108.0,13.2,119.5
201809,2018-09-01,82.0,77.91,87.6,13.35,113.4
201810,2018-10-01,84.8,78.65,88.9,13.51,115.6
201811,2018-11-01,87.6,79.39,91.2,13.67,114.3
201812,2018-12-01,90.4,80.12,94.5,13.82,119.7
201901,2019-01-01,104.4,80.86,107.4,13.98,114.3
201902,2019-02-01,107.2,81.6,111.6,14.14,118.7
201903,2019-03-01,110.0,82.34,115.6,14.3,110.1
201904,2019-04-01,112.8,83.08,119.0,14.45,111.2
201905,2019-05-01,82.0,83.82,94.6,14.61,119.6
201906,2019-06-01,84.8,84.56,96.0,14.77,119.8
201907,2019-07-01,87.6,85.3,96.7,14.92,112.0
201908,2019-08-01,90.4,86.03,97.0,15.08,114.1
201909,2019-09-01,93.2,86.77,97.4,15.24,116.1
201910,2019-10-01,96.0,87.51,98.3,15.39,113.9
201911,2019-11-01,98.8,88.25,100.0,15.55,113.6
201912,2019-12-01,97.9,88.99,99.8,15.71,117.8
202001,2020-01-01,101.1,89.73,103.7,15.86,116.4
202002,2020-02-01,104.5,90.47,108.3,16.02,113.1
202003,2020-03-01,108.0,91.2,113.1,16.18,113.9
202004,2020-04-01,111.3,91.94,117.3,16.33,113.7
202005,2020-05-01,114.2,92.68,120.3,16.49,117.9
202006,2020-06-01,116.5,93.42,121.9,16.65,113.7
202007,2020-07-01,118.1,94.16,122.1,16.8,111.1
202008,2020-08-01,118.9,94.9,120.9,16.96,165.4
202009,2020-09-01,118.9,95.64,119.0,17.12,165.1
202010,2020-10-01,117.9,96.38,116.5,17.27,165.4
202011,2020-11-01,116.2,97.11,114.1,17.43,162.2
202012,2020-12-01,113.7,97.85,112.1,17.59,164.3
202101,2021-01-01,110.8,98.59,110.6,17.75,167.1
202102,2021-02-01,107.4,99.33,109.6,17.9,165.3
202103,2021-03-01,103.9,100.07,108.7,18.06,163.2
202104,2021-04-01,100.5,100.81,107.8,18.22,166.1
202105,2021-05-01,97.4,101.55,106.6,18.37,164.4
202106,2021-06-01,94.7,102.28,104.7,18.53,165.4
202107,2021-07-01,92.7,103.02,102.5,18.69,164.6
202108,2021-08-01,95.0,103.76,102.9,18.84,111.7
202109,2021-09-01,89.8,103.28,96.8,18.74,111.5
202110,2021-10-01,84.6,102.06,90.7,18.48,114.3
202111,2021-11-01,79.4,100.84,85.1,18.21,112.5
202112,2021-12-01,74.2,99.62,80.4,17.95,111.4
202201,2022-01-01,18.2,-8.84,35.9,-5.41,111.7
202202,2022-02-01,18.2,-10.06,37.2,-5.68,114.1
202203,2022-03-01,18.2,-11.28,39.0,-5.94,119.1
202204,2022-04-01,18.2,-12.5,41.0,-6.2,112.1
202205,2022-05-01,18.2,-13.72,42.6,-6.46,118.4
202206,2022-06-01,18.2,-14.94,43.5,-6.73,116.1
202207,2022-07-01,18.2,-16.16,43.4,-6.99,116.8
202208,2022-08-01,18.2,-17.38,42.4,-7.25,75.0
202209,2022-09-01,18.2,-18.59,40.6,-7.51,75.8
202210,2022-10-01,18.2,-19.81,38.7,-7.78,68.4
202211,2022-11-01,18.2,-21.03,36.9,-8.04,70.9
202212,2022-12-01,-170.8,-22.25,30.0,-8.3,70.0
202301,2023-01-01,25.0,85.0,41.0,14.8,74.2
202302,2023-02-01,27.2,85.66,43.6,14.82,75.8
202303,2023-03-01,29.4,86.32,46.9,14.84,68.8
202304,2023-04-01,31.6,86.98,50.6,14.85,69.0
202305,2023-05-01,33.8,87.64,54.2,14.87,70.6
202306,2023-06-01,36.0,88.3,57.3,14.89,116.8
202307,2023-07-01,38.2,88.96,59.6,14.91,111.9
202308,2023-08-01,40.4,89.62,60.8,14.93,115.5
202309,2023-09-01,42.6,90.28,61.2,14.95,114.7
202310,2023-10-01,44.8,90.94,61.1,14.96,119.9
202311,2023-11-01,47.0,91.6,60.9,14.98,110.7
202312,2023-12-01,49.2,92.26,61.1,15.0,119.0
202401,2024-01-01,55.0,151.0,65.0,15.02,111.1
202402,2024-02-01,57.1,151.66,67.0,15.04,114.9
202403,2024-03-01,59.2,152.32,69.8,15.05,114.9
202404,2024-04-01,61.3,152.98,73.2,15.07,116.7
202405,2024-05-01,63.4,153.64,76.9,15.09,116.3
202406,2024-06-01,65.5,154.3,80.3,15.11,112.8
202407,2024-07-01,67.6,154.96,82.9,15.13,115.6
202408,2024-08-01,69.7,155.62,84.7,15.15,116.4
202409,2024-09-01,54.5,98.2,71.6,15.16,114.9
202410,2024-10-01,55.8,98.48,71.0,15.18,119.5
202411,2024-11-01,59.1,98.77,71.6,15.2,116.6
202412,2024-12-01,61.4,99.05,71.7,15.22,115.2
202501,2025-01-01,60.6,99.33,69.8,15.24,118.6
202502,2025-02-01,57.4,99.62,66.9,15.25,114.5
202503,2025-03-01,54.8,99.9,65.5,15.27,113.2
202504,2025-04-01,55.1,100.18,67.2,15.29,119.1
202505,2025-05-01,58.1,100.47,71.6,15.31,111.3
202506,2025-06-01,61.0,100.75,75.8,15.33,118.0
202507,2025-07-01,61.1,101.03,77.3,15.35,115.9
202508,2025-08-01,58.4,101.32,75.7,15.36,110.9
202509,2025-09-01,55.3,101.6,72.8,15.38,115.5
202510,2025-10-01,54.7,101.88,71.1,15.4,117.5
202511,2025-11-01,57.1,102.17,71.2,15.42,112.4
202512,2025-12-01,60.4,102.45,71.9,15.44,112.4
202601,2026-01-01,61.4,102.73,71.0,15.45,112.2
202602,2026-02-01,59.3,103.02,68.5,15.47,110.9
202603,2026-03-01,56.0,103.3,66.0,15.49,111.0
202604,2026-04-01,54.5,103.58,65.8,15.51,119.7
202605,2026-05-01,56.2,103.87,68.9,15.53,116.7
202606,2026-06-01,59.6,104.15,73.6,15.55,110.3
202607,2026-07-01,61.5,104.43,76.9,15.56,115.6
202608,2026-08-01,60.2,104.72,76.9,15.58,110.3
