DATE,YEAR_MONTH,KOSPI_OPEN,KOSPI_HIGH,KOSPI_LOW,KOSPI_CLOSE,KOSPI_VOLUME,KOSPI_MOM_PCT
2018-01-01,201801,2578.91,2583.74,2346.73,2427.36,7281200,
2018-02-01,201802,2406.57,2508.71,2374.8,2445.85,8079000,0.76
2018-03-01,201803,2454.72,2515.38,2405.91,2515.38,10439800,2.84
2018-04-01,201804,2515.75,2516.57,2399.58,2423.01,12820500,-3.67
2018-05-01,201805,2419.63,2479.56,2296.39,2326.13,9450900,-4.0
2018-06-01,201806,2322.23,2327.59,2243.9,2295.26,7509300,-1.33
2018-07-01,201807,2301.17,2322.88,2218.09,2322.88,6204500,1.2
2018-08-01,201808,2317.93,2356.62,2264.9,2343.07,5433100,0.87
2018-09-01,201809,2349.64,2352.11,1985.95,2029.69,7022100,-13.37
2018-10-01,201810,2035.11,2136.74,2023.43,2096.86,6978800,3.31
2018-11-01,201811,2127.78,2136.64,2014.28,2041.04,7631800,-2.66
2018-12-01,201812,2050.55,2222.88,1984.53,2204.85,9455200,8.03
2019-01-01,201901,2211.93,2241.76,2167.36,2195.44,6882500,-0.43
2019-02-01,201902,2210.97,2216.02,2120.93,2140.67,6458000,-2.49
2019-03-01,201903,2153.31,2252.05,2153.31,2203.59,9689800,2.94
2019-04-01,201904,2192.94,2217.03,2016.25,2041.74,11243200,-7.34
2019-05-01,201905,2031.03,2141.27,2029.17,2130.62,11256800,4.35
2019-06-01,201906,2147.24,2147.24,2010.95,2024.55,11908800,-4.98
2019-07-01,201907,2015.09,2032.23,1891.81,1967.79,10472000,-2.8
2019-08-01,201908,1961.19,2101.63,1958.59,2063.05,8620700,4.84
2019-09-01,201909,2062.44,2105.17,2010.9,2083.48,8884300,0.99
2019-10-01,201910,2084.79,2165.89,2081.53,2087.96,10737800,0.22
2019-11-01,201911,2097.55,2215.55,2053.56,2197.67,10188600,5.25
2019-12-01,201912,2201.21,2277.23,2119.01,2119.01,13095500,-3.58
2020-01-01,202001,2086.61,2255.49,1980.82,1987.01,13958600,-6.23
2020-02-01,202002,1997.03,2089.08,1439.43,1754.64,17090800,-11.69
2020-03-01,202003,1737.28,1957.51,1664.13,1947.56,21045000,10.99
2020-04-01,202004,1906.42,2054.52,1894.29,2029.6,16205400,4.21
2020-05-01,202005,2037.04,2217.21,2030.82,2108.33,19862100,3.88
2020-06-01,202006,2128.81,2281.41,2101.33,2249.37,18866300,6.69
2020-07-01,202007,2251.65,2458.17,2237.04,2326.17,17631500,3.41
2020-08-01,202008,2340.19,2450.53,2267.63,2327.89,19606800,0.07
2020-09-01,202009,2330.55,2418.89,2266.93,2267.15,15693300,-2.61
2020-10-01,202010,2276.61,2648.66,2267.95,2591.34,24375000,14.3
2020-11-01,202011,2613.42,2878.21,2611.67,2873.47,24557500,10.89
2020-12-01,202012,2874.5,3266.23,2869.11,2976.21,26092000,3.58
2021-01-01,202101,2976.81,3180.94,2947.24,3012.95,30029700,1.23
2021-02-01,202102,3021.68,3096.5,2929.36,3061.42,27902000,1.61
2021-03-01,202103,3073.77,3223.05,3069.68,3147.86,30640900,2.82
2021-04-01,202104,3149.05,3255.9,3103.88,3203.92,18776200,1.78
2021-05-01,202105,3207.12,3316.08,3199.18,3296.68,35336100,2.9
2021-06-01,202106,3297.92,3313.51,3188.8,3202.32,22105700,-2.86
2021-07-01,202107,3218.42,3296.17,3049.03,3199.27,13766700,-0.1
2021-08-01,202108,3195.67,3215.13,3030.6,3068.82,14249700,-4.08
2021-09-01,202109,3056.21,3062.6,2901.51,2970.68,13901200,-3.2
2021-10-01,202110,2984.18,3034.3,2822.73,2839.01,13771400,-4.43
2021-11-01,202111,2860.12,3043.83,2837.03,2977.65,10656300,4.88
2021-12-01,202112,2998.32,3010.77,2591.53,2663.34,10916900,-10.56
2022-01-01,202201,2706.34,2788.27,2642.63,2699.18,10111500,1.35
2022-02-01,202202,2698.31,2765.2,2605.81,2757.65,14388900,2.17
2022-03-01,202203,2745.85,2769.18,2615.5,2695.05,22014500,-2.27
2022-04-01,202204,2669.21,2702.1,2546.8,2685.9,16851600,-0.34
2022-05-01,202205,2670.74,2681.51,2306.48,2332.64,12006600,-13.15
2022-06-01,202206,2342.92,2463.05,2276.63,2451.5,7950200,5.1
2022-07-01,202207,2444.05,2546.35,2417.01,2472.05,9760600,0.84
2022-08-01,202208,2443.0,2453.95,2134.77,2155.49,9370100,-12.81
2022-09-01,202209,2189.51,2295.51,2162.87,2293.61,11769900,6.41
2022-10-01,202210,2301.58,2499.43,2296.44,2472.53,12745000,7.8
2022-11-01,202211,2501.43,2501.43,2236.38,2236.4,8429100,-9.55
2022-12-01,202212,2249.95,2497.4,2180.67,2425.08,9408900,8.44
2023-01-01,202301,2446.03,2487.35,2383.76,2412.85,9638200,-0.5
2023-02-01,202302,2414.61,2481.24,2346.11,2476.86,10052900,2.65
2023-03-01,202303,2485.81,2582.23,2458.5,2501.53,16668400,1.0
2023-04-01,202304,2504.01,2596.31,2455.99,2577.12,13801100,3.02
2023-05-01,202305,2572.56,2650.45,2541.72,2564.28,12448700,-0.5
2023-06-01,202306,2580.89,2646.71,2515.07,2632.58,11996500,2.66
2023-07-01,202307,2644.34,2668.21,2482.06,2556.27,12266700,-2.9
2023-08-01,202308,2551.93,2611.0,2445.51,2465.07,7803300,-3.57
2023-09-01,202309,2435.78,2479.82,2273.97,2277.99,9779200,-7.59
2023-10-01,202310,2292.89,2535.29,2288.64,2535.29,9184300,11.3
2023-11-01,202311,2520.49,2655.28,2481.0,2655.28,8538100,4.73
2023-12-01,202312,2645.47,2675.8,2429.12,2497.09,12182200,-5.96
2024-01-01,202401,2491.93,2694.8,2491.93,2642.36,10021200,5.82
2024-02-01,202402,2664.52,2779.4,2630.16,2746.63,10160900,3.95
2024-03-01,202403,2766.24,2769.87,2553.55,2692.06,10641000,-1.99
2024-04-01,202404,2693.22,2773.46,2635.44,2636.52,10273400,-2.06
2024-05-01,202405,2657.81,2812.62,2657.81,2797.82,12182100,6.12
2024-06-01,202406,2792.96,2896.43,2703.86,2770.69,10775300,-0.97
2024-07-01,202407,2787.27,2794.11,2386.96,2674.31,8687900,-3.48
2024-08-01,202408,2683.8,2695.59,2491.3,2593.27,6185200,-3.03
2024-09-01,202409,2566.55,2635.32,2552.36,2556.15,7744600,-1.43
2024-10-01,202410,2542.96,2593.15,2390.56,2455.91,10063200,-3.92
2024-11-01,202411,2479.02,2515.62,2360.18,2399.49,9925100,-2.3
2024-12-01,202412,2400.87,2552.57,2386.84,2517.37,8301400,4.91
2025-01-01,202501,2468.74,2680.7,2437.61,2532.78,9552500,0.61
2025-02-01,202502,2522.2,2654.63,2479.46,2481.12,9442200,-2.04
2025-03-01,202503,2511.24,2571.41,2284.72,2556.61,11379100,3.04
2025-04-01,202504,2556.52,2720.64,2540.57,2697.67,8023400,5.52
2025-05-01,202505,2692.91,3129.09,2685.14,3071.7,10771400,13.86
2025-06-01,202506,3089.64,3288.26,3032.47,3245.44,11312500,5.66
2025-07-01,202507,3210.32,3242.17,3079.27,3186.01,6355300,-1.83
2025-08-01,202508,3164.58,3497.95,3135.02,3424.6,8198300,7.49
2025-09-01,202509,3444.06,4146.72,3440.42,4107.5,8657000,19.94
2025-10-01,202510,4123.36,4226.75,3833.35,3926.59,7295900,-4.4
2025-11-01,202511,3967.92,4226.36,3892.08,4214.17,8409500,7.32
2025-12-01,202512,4224.53,5321.68,4216.68,5224.36,11550300,23.97
2026-01-01,202601,5122.62,6347.41,4899.3,6244.13,17823700,19.52
2026-02-01,202602,6165.15,6180.45,5042.99,5052.46,23260800,-19.08
2026-03-01,202603,5330.04,6750.27,5170.27,6598.87,20838100,30.61
2026-04-01,202604,6782.93,8476.15,6741.63,8476.15,12578300,28.45
2026-05-01,202605,8485.67,9385.59,7394.46,8476.48,9919000,0.0
2026-06-01,202606,8591.5,8620.15,5262.77,6595.45,9512700,-22.19
2026-07-01,202607,6358.27,7010.86,6080.25,6977.94,3248100,5.8
2026-08-01,202608,6995.67,7010.86,6848.43,6977.94,332942,0.0
