STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,YEAR,MONTH,DATE
T245383131632416,MM,201801,60010,도심권,50003,10년 초과 ~ 15년 이하,10001,지수,75.1064464959461,지수,서울>강북지역>도심권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60019,중부산권,50003,10년 초과 ~ 15년 이하,10001,지수,107.19312468972,지수,부산>중부산권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60031,전남,50003,10년 초과 ~ 15년 이하,10001,지수,104.990172898102,지수,전남광주>전남,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60036,경부1권,50003,10년 초과 ~ 15년 이하,10001,지수,74.5194536512173,지수,경기>경부1권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60009,강북지역,50003,10년 초과 ~ 15년 이하,10001,지수,84.4726794597096,지수,서울>강북지역,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60001,전국,50003,10년 초과 ~ 15년 이하,10001,지수,91.1528709110502,지수,전국,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60013,강남지역,50003,10년 초과 ~ 15년 이하,10001,지수,72.5448663628496,지수,서울>강남지역,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60002,수도권,50003,10년 초과 ~ 15년 이하,10001,지수,83.042501714535,지수,수도권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60011,동북권,50003,10년 초과 ~ 15년 이하,10001,지수,86.1982183442835,지수,서울>강북지역>동북권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60020,동부산권,50003,10년 초과 ~ 15년 이하,10001,지수,100.716285782479,지수,부산>동부산권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60023,광주,50003,10년 초과 ~ 15년 이하,10001,지수,97.695030434631,지수,전남광주>광주,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60037,경부2권,50003,10년 초과 ~ 15년 이하,10001,지수,76.2210149898473,지수,경기>경부2권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60021,서부산권,50003,10년 초과 ~ 15년 이하,10001,지수,108.699928731285,지수,부산>서부산권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
T245383131632416,MM,201801,60012,서북권,50003,10년 초과 ~ 15년 이하,10001,지수,84.8196321693982,지수,서울>강북지역>서북권,10년 초과 ~ 15년 이하,지수,2018년 1월,2018,1,2018-01-01
