DATE,YEAR_MONTH,SEOUL_BASE_INDEX,STATION_PREMIUM_RATIO,LARGE_COMPLEX_PREMIUM_RATIO,STATION_NEAR_INDEX,NON_STATION_INDEX,LARGE_COMPLEX_INDEX,SMALL_COMPLEX_INDEX
2018-01-01,201801,80.0951863668993,1.16,1.14,78.74,73.69,79.4,75.29
2018-02-01,201802,81.2046309746765,1.16,1.14,79.83,74.71,80.5,76.33
2018-03-01,201803,81.8268035547865,1.16,1.14,80.44,75.28,81.12,76.92
2018-04-01,201804,82.1322825851947,1.16,1.14,80.74,75.56,81.42,77.2
2018-05-01,201805,82.3157806351266,1.16,1.14,80.92,75.73,81.6,77.38
2018-06-01,201806,82.4922503607887,1.16,1.14,81.09,75.89,81.77,77.54
2018-07-01,201807,82.7729478165944,1.16,1.14,81.37,76.15,82.05,77.81
2018-08-01,201808,83.4529413756594,1.16,1.14,82.04,76.78,82.73,78.45
2018-09-01,201809,84.9916349581498,1.16,1.14,83.55,78.19,84.25,79.89
2018-10-01,201810,85.4841350493162,1.16,1.14,84.04,78.65,84.74,80.36
2018-11-01,201811,85.5287821249231,1.16,1.14,84.08,78.69,84.79,80.4
2018-12-01,201812,85.3843230014628,1.16,1.14,83.94,78.55,84.64,80.26
2019-01-01,201901,85.0348838007839,1.16,1.14,83.59,78.23,84.3,79.93
2019-02-01,201902,84.7221239017979,1.16,1.14,83.29,77.94,83.99,79.64
2019-03-01,201903,84.3860421527522,1.16,1.14,82.96,77.64,83.65,79.32
2019-04-01,201904,84.0966272227614,1.16,1.14,82.67,77.37,83.37,79.05
2019-05-01,201905,83.9290146394359,1.16,1.14,82.51,77.21,83.2,78.89
2019-06-01,201906,83.8522390969411,1.16,1.14,82.43,77.14,83.12,78.82
2019-07-01,201907,83.9122685809849,1.16,1.14,82.49,77.2,83.18,78.88
2019-08-01,201908,84.0308163104234,1.16,1.14,82.61,77.31,83.3,78.99
2019-09-01,201909,84.1851563164088,1.16,1.14,82.76,77.45,83.45,79.13
